Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.8962,0.2846,1.5914,0.3782
2,1.4548,0.4508,1.3548,0.4913
3,1.2508,0.5506,1.1456,0.5921
4,1.0975,0.6210,0.9207,0.6839
5,1.0072,0.6554,0.8418,0.7160
6,0.9362,0.6811,0.7904,0.7305
7,0.8852,0.6995,0.7688,0.7434
8,0.8483,0.7139,0.7845,0.7282
9,0.8149,0.7275,0.7232,0.7565
10,0.7832,0.7385,0.6714,0.7735
11,0.7568,0.7500,0.6280,0.7921
12,0.7268,0.7565,0.9586,0.6878
13,0.7074,0.7665,0.7592,0.7481
14,0.6829,0.7762,0.5627,0.8108
15,0.6675,0.7793,0.6653,0.7742
16,0.6490,0.7859,0.7698,0.7386
17,0.6384,0.7909,0.5666,0.8053
18,0.6204,0.7959,0.5269,0.8232
19,0.6108,0.7978,0.8772,0.7161
20,0.5986,0.8043,0.5391,0.8179
