Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.9990,0.8643,0.2082,0.9825
2,0.2023,0.9718,0.0904,0.9861
3,0.1075,0.9792,0.0518,0.9899
4,0.0783,0.9824,0.0432,0.9905
5,0.0625,0.9851,0.0357,0.9905
6,0.0537,0.9872,0.0294,0.9933
7,0.0464,0.9881,0.0304,0.9920
8,0.0442,0.9885,0.0305,0.9919
9,0.0406,0.9894,0.0335,0.9914
10,0.0371,0.9903,0.0287,0.9927
11,0.0342,0.9912,0.0259,0.9930
12,0.0306,0.9919,0.0306,0.9929
13,0.0264,0.9927,0.0306,0.9926
14,0.0260,0.9931,0.0283,0.9915
15,0.0236,0.9938,0.0253,0.9930
16,0.0231,0.9938,0.0244,0.9938
17,0.0204,0.9945,0.0301,0.9928
18,0.0186,0.9947,0.0273,0.9933
19,0.0202,0.9945,0.0274,0.9939
20,0.0180,0.9951,0.0284,0.9928
