Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.8138,0.9434,0.2042,0.9877
2,0.1227,0.9886,0.0800,0.9897
3,0.0563,0.9924,0.0573,0.9899
4,0.0381,0.9936,0.0475,0.9896
5,0.0285,0.9944,0.0485,0.9888
6,0.0214,0.9958,0.0509,0.9883
7,0.0167,0.9967,0.0422,0.9898
8,0.0155,0.9968,0.0430,0.9892
9,0.0125,0.9973,0.0406,0.9895
10,0.0130,0.9969,0.0448,0.9893
11,0.0099,0.9977,0.0465,0.9897
12,0.0081,0.9982,0.0414,0.9907
13,0.0069,0.9983,0.0423,0.9897
14,0.0087,0.9980,0.0404,0.9906
15,0.0073,0.9983,0.0448,0.9887
16,0.0070,0.9982,0.0407,0.9904
17,0.0061,0.9985,0.0557,0.9876
18,0.0055,0.9986,0.0444,0.9902
19,0.0052,0.9986,0.0411,0.9902
20,0.0035,0.9992,0.0463,0.9890
