Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.0844,0.4415,1.7222,0.6665
2,1.4624,0.7325,1.0229,0.8584
3,0.9071,0.8939,0.6009,0.9608
4,0.5677,0.9545,0.3577,0.9750
5,0.3820,0.9679,0.2368,0.9815
6,0.2765,0.9749,0.1704,0.9846
7,0.2118,0.9794,0.1372,0.9850
8,0.1714,0.9823,0.1097,0.9883
9,0.1449,0.9845,0.0986,0.9873
10,0.1241,0.9862,0.0883,0.9882
11,0.1089,0.9876,0.0786,0.9886
12,0.0966,0.9882,0.0696,0.9894
13,0.0868,0.9897,0.0708,0.9883
14,0.0789,0.9906,0.0614,0.9900
15,0.0716,0.9912,0.0579,0.9900
16,0.0656,0.9925,0.0547,0.9907
17,0.0604,0.9927,0.0555,0.9897
18,0.0560,0.9934,0.0511,0.9900
19,0.0530,0.9938,0.0507,0.9902
20,0.0493,0.9939,0.0476,0.9912
