Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.1198,0.9643,0.0370,0.9884
2,0.0382,0.9877,0.0313,0.9895
3,0.0258,0.9916,0.0272,0.9911
4,0.0170,0.9947,0.0462,0.9884
5,0.0158,0.9947,0.0361,0.9890
6,0.0122,0.9961,0.0415,0.9892
7,0.0111,0.9965,0.0285,0.9919
8,0.0098,0.9970,0.0352,0.9905
9,0.0103,0.9967,0.0350,0.9903
10,0.0085,0.9972,0.0405,0.9898
11,0.0063,0.9980,0.0367,0.9910
12,0.0062,0.9981,0.0608,0.9871
13,0.0071,0.9978,0.0421,0.9902
14,0.0054,0.9984,0.0341,0.9927
15,0.0056,0.9982,0.0439,0.9909
16,0.0063,0.9981,0.0482,0.9899
17,0.0052,0.9984,0.0674,0.9867
18,0.0041,0.9987,0.0434,0.9906
19,0.0044,0.9988,0.0446,0.9922
20,0.0052,0.9984,0.0527,0.9901
