Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.1818,0.9453,0.0391,0.9864
2,0.0632,0.9819,0.0312,0.9901
3,0.0482,0.9861,0.0350,0.9906
4,0.0431,0.9874,0.0301,0.9916
5,0.0373,0.9890,0.0259,0.9923
6,0.0302,0.9912,0.0260,0.9917
7,0.0263,0.9926,0.0309,0.9919
8,0.0248,0.9923,0.0269,0.9918
9,0.0237,0.9927,0.0357,0.9917
10,0.0214,0.9930,0.0285,0.9922
11,0.0190,0.9943,0.0291,0.9921
12,0.0189,0.9941,0.0275,0.9930
13,0.0177,0.9947,0.0345,0.9914
14,0.0164,0.9951,0.0349,0.9912
15,0.0168,0.9947,0.0286,0.9930
16,0.0152,0.9952,0.0322,0.9925
17,0.0149,0.9955,0.0295,0.9932
18,0.0115,0.9966,0.0351,0.9936
19,0.0138,0.9961,0.0310,0.9928
20,0.0124,0.9962,0.0354,0.9929
