Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.5308,0.8405,0.0815,0.9750
2,0.1083,0.9690,0.0495,0.9844
3,0.0732,0.9786,0.0402,0.9869
4,0.0583,0.9827,0.0330,0.9885
5,0.0481,0.9858,0.0321,0.9885
6,0.0403,0.9886,0.0304,0.9896
7,0.0350,0.9896,0.0298,0.9893
8,0.0313,0.9906,0.0278,0.9906
9,0.0266,0.9919,0.0280,0.9899
10,0.0244,0.9925,0.0257,0.9914
11,0.0217,0.9940,0.0285,0.9905
12,0.0205,0.9938,0.0251,0.9914
13,0.0182,0.9942,0.0274,0.9910
14,0.0162,0.9953,0.0277,0.9908
15,0.0153,0.9957,0.0253,0.9917
16,0.0148,0.9958,0.0264,0.9912
17,0.0128,0.9962,0.0263,0.9915
18,0.0124,0.9960,0.0284,0.9906
19,0.0110,0.9968,0.0288,0.9906
20,0.0107,0.9971,0.0260,0.9917
