Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.6390,0.3955,1.2788,0.5409
2,1.2389,0.5570,1.2455,0.5588
3,1.0652,0.6302,0.9373,0.6706
4,0.9623,0.6692,0.7770,0.7287
5,0.8885,0.6974,0.8205,0.7213
6,0.8384,0.7194,0.7163,0.7555
7,0.7943,0.7351,0.8289,0.7252
8,0.7564,0.7488,0.7686,0.7368
9,0.7155,0.7623,0.6578,0.7766
10,0.6807,0.7729,0.6420,0.7831
11,0.6639,0.7786,0.6645,0.7761
12,0.6411,0.7885,0.8132,0.7185
13,0.6259,0.7958,0.6912,0.7703
14,0.6095,0.7986,0.5849,0.8024
15,0.5944,0.8019,0.5874,0.7990
16,0.5831,0.8081,0.6030,0.7957
17,0.5688,0.8126,0.5352,0.8216
18,0.5540,0.8156,0.5342,0.8203
19,0.5409,0.8217,0.4975,0.8310
20,0.5317,0.8250,0.6159,0.7932
